Fahrzeugklasse;Fahrzeugart_Code;Fahrzeugart;SUV;Marken_Code;Marke;Marke_und_Typ;Typ1;Typ2;Typ3;Typ4;Typengenehmigungs.Nr;Typengenehmigungs.Nr_Zusatz;Typ;Variante;Version;Fahrgestell.Nr_Teil;Karosserieform_Code;Karosserieform;Farbe;Farbe_Zusatz;Sitzplätze;Sitzplätze_vorne;Stehplätze;Leergewicht;Nutzlast;Gesamtgewicht;Gesamtzugsgewicht;Anhängelast;Dachlast;Tankinhalt_Aufbaus;Hubraum;Zylinder;Leistung;Motorkennzeichen;Treibstoff_Code;Treibstoff;Hybridcode;CO2.WLTP;CO2.NEFZ;El.Verbrauch;Emissionscode;Getriebe_Code;Getriebe;Getriebe_Detailcode;Antrieb_Code;Antrieb;Achsen;Erstinverkehrsetzung_Jahr;Erstinverkehrsetzung_Monat;Erstinverkehrsetzung_Kanton;Erstinverkehrsetzung_Staat;Gebrauchtcode;Ersterfassung_Jahr;Ersterfassung_Monat;Schildfarbe_Code;Schildfarbe;Schildart_Code;Schildart;Inverkehrsetzung_Status_Code;Inverkehrsetzung_Kanton;PLZ;Staat_Code;Staat;Datenstand
M1;1;Personenwagen;0;2114;TOYOTA;TOYOTA Yaris 1.5;Yaris 1.5;Yaris;1.5;;1TA841;;;;;VNKKG3D370A......;163;Limousine;Weiss;;5;2;0;1178;367;1545;0;0;70;0;1496;4;82;2NR;B;Benzin;N/A;143;113;;B6c;S;Stufenlos;S;V;Vorderrad;2;2019;3;ZH;;;NA;NA;0;Weiss;N;Normalschild;I;FR;17..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;Toyota Yaris 1.5;Yaris 1.5;Yaris;1.5;;1TA719;;;;;VNKKG3D390A......;163;Limousine;Schwarz;;5;2;0;1140;405;1545;0;0;70;0;1496;4;82;2NR;B;Benzin;N/A;0;108;;B6b;S;Stufenlos;S;V;Vorderrad;2;2017;4;VD;;;NA;NA;0;Weiss;N;Normalschild;I;VD;15..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;TOYOTA Yaris 1.5;Yaris 1.5;Yaris;1.5;;1TA799;;;;;VNKKG3D330A......;163;Limousine;Weiss;;5;2;0;1154;391;1545;0;0;70;0;1496;4;82;2NR;B;Benzin;N/A;146;118;;B6c;M;Mechanisch;M6;V;Vorderrad;2;2019;3;TI;;;NA;NA;0;Weiss;N;Normalschild;I;SG;87..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;6318;TOYOTA;Toyota Yaris 1.5;Yaris 1.5;Yaris;1.5;;;X;;;;JTDKT283700......;163;Limousine;Blau;;5;2;0;1075;455;1530;0;0;50;0;1497;4;78;;B;Benzin;N/A;0;NA;;B03;M;Mechanisch;;V;Vorderrad;2;2002;11;VD;Deutschland;A;2005;9;0;Weiss;N;Normalschild;I;VD;10..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;TOYOTA Yaris 1.5;Yaris 1.5;Yaris;1.5;;1TB671;;;;;YARKAAC3800......;163;Limousine;Schwarz;Metallic;5;2;0;1198;387;1585;0;0;50;0;1490;3;92;M15A;B;Benzin;N/A;128;NA;;B6d;S;Stufenlos;S;V;Vorderrad;2;2023;11;SO;;;NA;NA;0;Weiss;N;Normalschild;I;SO;46..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;7107;TOYOTA;Toyota Yaris 1.5 TS;Yaris 1.5 TS;Yaris;1.5;TS;1TA259;;;;;JTDKT123300......;163;Limousine;Blau;Metallic;5;2;0;1090;320;1410;0;0;50;0;1497;4;77;;B;Benzin;N/A;0;165;;B04;M;Mechanisch;M5;V;Vorderrad;2;2004;5;VD;;;NA;NA;0;Weiss;N;Normalschild;I;VD;18..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;7107;TOYOTA;Toyota Yaris 1.5 TS;Yaris 1.5 TS;Yaris;1.5;TS;1TA216;;;;;JTDJT123700......;163;Limousine;Grau;;5;2;0;1030;360;1390;0;0;50;0;1497;4;78;;B;Benzin;N/A;0;165;;B03;M;Mechanisch;M5;V;Vorderrad;2;2001;11;BS;;;NA;NA;0;Weiss;N;Normalschild;I;BE;47..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;7107;TOYOTA;TOYOTA Yaris 1.8 TS;Yaris 1.8 TS;Yaris;1.8;TS;1TA368;;;;;JTDKL963800......;163;Limousine;Schwarz;Metallic;5;2;0;1210;335;1545;0;0;70;0;1798;4;98;;B;Benzin;N/A;0;170;;B04;M;Mechanisch;M5;V;Vorderrad;2;2008;2;SG;;;NA;NA;0;Weiss;N;Normalschild;I;SG;94..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;7107;TOYOTA;TOYOTA Yaris 1.8 TS;Yaris 1.8 TS;Yaris;1.8;TS;1TA395;;;;;JTDKL963700......;163;Limousine;Rot;;5;2;0;1215;330;1545;0;0;70;0;1798;4;98;2ZR;B;Benzin;N/A;0;164;;B04;M;Mechanisch;M6;V;Vorderrad;2;2010;7;BE;;;NA;NA;0;Weiss;N;Normalschild;I;BE;35..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;3;7155;TOYOTA;TOYOTA YARIS CROSS;YARIS CROSS;YARIS;CROSS;;IVI;;XPB1F(M);MXPJ11(H);MXPJ11L-BHXVBW(2E);JTDKGAGB00A......;161;Stationswagen;Weiss;;5;0;0;1318;372;1690;0;0;0;0;1490;3;68;M15A;C;Benzin / Elektrisch;NOVC-HEV;109;NA;;B6e;S;Stufenlos;S;V;Vorderrad;2;2024;6;VD;;;NA;NA;0;Weiss;N;Normalschild;I;VD;10..;CH;Schweiz;01.07.2024
